,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last
security,AUDUSD Index,BCOMCOT Index,BCOMGCTR Index,EURUSD Index,GBPUSD Index,I02981JP Index,LEATTREU Index,LSG1TRGU Index,LUATTRUU Index,NKYTR Index,SPXT Index,SX5T Index,TUKXG Index,USDCNH Index,USDJPY Index
date,,,,,,,,,,,,,,,
03/01/2000,0.6585,192.924,79.6723,1.0243,1.6362,,105.8053,,953.47,,2002.11,6067.89,,,101.45
04/01/2000,0.655,189.986,78.0611,1.0296,1.636,,105.2575,,957.56,,1925.41,5828.4,3021.19,,103.22
05/01/2000,0.6579,186.246,77.6325,1.0321,1.6426,,105.1691,,953.2,,1929.28,5683.15,2962.29,,104.14
06/01/2000,0.6533,185.07,77.7267,1.0328,1.6474,,105.0316,,956.22,,1931.51,5631.77,2922.11,,105.23
07/01/2000,0.6549,181.729,77.876,1.0295,1.6393,,105.5858,,958.71,,1983.83,5816.44,2948.17,,105.34
10/01/2000,0.6561,186.056,77.856,1.0256,1.6374,,105.8193,,957.12,,2006.07,5899.13,2994.84,,105.16
11/01/2000,0.6578,192.22,78.3451,1.0336,1.6475,,105.2167,,952.75,,1979.92,5845.9,2954.61,,105.95
12/01/2000,0.6587,193.854,78.1808,1.0309,1.6466,,105.1249,,951.77,,1971.36,5818.12,2960.91,,105.79
13/01/2000,0.6679,196.326,78.5974,1.0258,1.6472,,105.3233,,956.36,,1995.35,5867.31,2960.28,,106.17
14/01/2000,0.6657,200.759,78.5816,1.0122,1.6313,,105.1503,,954.42,,2016.64,6043.79,3017.71,,105.87
17/01/2000,0.6642,,,1.0122,1.6333,,105.1499,,,,,6112.79,3023.04,,104.9
18/01/2000,0.6654,207.399,79.9405,1.0137,1.6379,,104.8181,,952.8,,2002.89,5958.23,2948.3,,105.67
19/01/2000,0.6638,206.159,80.1714,1.0133,1.645,,105.0834,,954.27,,2004.02,5967.46,2921.51,,105.32
20/01/2000,0.6658,206.953,79.9371,1.0168,1.6537,,105.0402,,953.19,,1989.81,5980.4,2877.67,,105.47
21/01/2000,0.6629,208.256,80.0312,1.0098,1.6487,,105.1258,,953.86,,1984.01,5906.04,2876.57,,104.78
24/01/2000,0.6543,206.229,79.6016,1.0072,1.6531,,105.1532,,957.53,,1929.2,5905.37,2892.13,,105.57
25/01/2000,0.6554,209.908,79.1753,1.0009,1.6452,,105.5042,,958.05,,1940.9,5823.84,2844.2,,106.04
26/01/2000,0.6523,206.291,79.2147,1.0019,1.6403,,105.4654,,959.59,,1932.78,5908.21,2890.21,,105.66
27/01/2000,0.6541,202.928,79.4458,0.9882,1.6396,,104.9258,,960.67,,1925.31,5990.55,2919.85,,105.12
28/01/2000,0.635,202.874,78.389,0.9747,1.6201,,105.0165,,963.18,,1872.61,5984.44,2890.22,,107.13
31/01/2000,0.637,206.615,78.4792,0.9707,1.6162,,105.368,98.0452,960.87,,1919.84,5862.81,2842.13,,107.32
01/02/2000,0.6324,209.705,78.2721,0.9711,1.615,,105.7792,,963.07,,1940.24,5997.43,2852.29,,107.85
02/02/2000,0.6389,206.425,78.915,0.9765,1.6088,,105.7491,,964.65,,1940.21,6135.19,2857.68,,108.16
03/02/2000,0.6348,209.855,79.5308,0.9894,1.5972,,105.8879,,970,,1962.21,6315.41,2867.43,,107.56
04/02/2000,0.638,213.796,85.8804,0.9832,1.5918,,105.6042,,967.97,,1961.44,6407.61,2804.24,,107.19
07/02/2000,0.6337,212.026,83.5882,0.9815,1.598,,105.5034,,964.21,,1961.3,6309.1,2774.18,,108.62
08/02/2000,0.6317,210.019,82.8326,0.9855,1.6113,,105.7839,,968.14,,1985.49,6478.17,2849.98,,109.47
09/02/2000,0.6362,213.197,84.7398,0.9942,1.6169,,105.615,,964.99,,1944.57,6497.73,2863.4,,108.79
10/02/2000,0.6265,215.952,87.5264,0.9854,1.6097,,105.3355,,962.1,,1951.65,6475.89,2847.26,,109.27
11/02/2000,0.6305,216.666,86.1393,0.9875,1.5936,,105.3628,,964.19,,1910.92,6502.59,2808.04,,108.82
14/02/2000,0.6263,221.275,85.4652,0.9783,1.588,,105.6652,,968.61,,1914.88,6465.54,2751.5,,108.96
15/02/2000,0.6305,222.586,83.5822,0.9815,1.596,,105.5765,,967.12,,1931.58,6311.92,2722.75,,109.22
16/02/2000,0.6319,223.982,83.8425,0.9863,1.6077,,105.4449,,966.98,,1912.12,6337.46,2787.22,,109.44
17/02/2000,0.6323,218.398,83.5255,0.9878,1.609,,105.4218,,967.59,,1912.96,6400.96,2815.31,,110.56
18/02/2000,0.6293,215.366,84.5007,0.9839,1.6013,,105.5001,,971.15,,1854.85,6357.3,2795.19,,111.09
21/02/2000,0.6258,,,0.9877,1.6005,,105.7591,,,,,6299.4,2761.83,,111.26
22/02/2000,0.6221,219.076,84.6628,1.0038,1.6126,,106.2098,,977.25,,1863.26,6287.79,2731.45,,110.69
23/02/2000,0.6216,220.644,83.2179,1.0036,1.6039,,106.0941,,973.51,,1875.16,6365.32,2790.2,,111.07
24/02/2000,0.6155,221.702,82.8182,0.992,1.6003,,106.4538,,976.68,,1865.2,6404.64,2764.14,,111.37
25/02/2000,0.6151,222.163,81.0973,0.9749,1.5953,,106.263,,975.78,,1837.7,6520.16,2814.67,,110.29
28/02/2000,0.6148,222.779,81.0256,0.9709,1.5958,,106.0861,,973.18,,1858.17,6416.84,2773.25,,109.45
29/02/2000,0.6178,227.165,81.0384,0.9642,1.5792,,106.022,99.9254,975.32,,1883.5,6487.3,2833.68,,110.33
01/03/2000,0.6057,236.243,80.8034,0.9727,1.5854,,106.1247,,975.5,,1901.51,6553.04,2893.85,,107.28
02/03/2000,0.6063,236.963,79.8244,0.9656,1.5766,,106.0074,,975.83,,1905.09,6767.37,2924.4,,107.74
03/03/2000,0.6084,235.721,80.0024,0.9586,1.5778,,106.2779,,977.74,,1942.89,6822.26,2949.57,,107.9
06/03/2000,0.6019,240.612,79.7925,0.9586,1.5749,,106.3073,,976.21,,1918.44,6840.05,2990.76,,107.54
07/03/2000,0.6051,258.41,80.9908,0.9584,1.5804,,106.4189,,977.11,,1869.33,6792.39,2944.65,,106.12
08/03/2000,0.6095,235.653,80.1007,0.961,1.5817,,106.3485,,976.7,,1884.81,6714.99,2919.45,,107.17
09/03/2000,0.6148,237.733,80.7566,0.9669,1.5827,,106.8391,,977.56,,1933.11,6700.41,2974.5,,106.53
10/03/2000,0.6151,233.985,80.0451,0.9637,1.5765,,106.6784,,975.59,,1923.98,6780.44,2991.18,,106.35
13/03/2000,0.6163,235.602,80.4942,0.9642,1.5792,,106.9077,,976.97,,1908.42,6577.16,2949.97,,105.52
14/03/2000,0.6148,235.732,79.9874,0.9686,1.5776,,106.744,,980.43,,1874.69,6582.06,2959.2,,105.12
15/03/2000,0.6135,231.534,79.9729,0.9669,1.5732,,106.9052,,982.11,,1920.28,6362.78,2940.9,,105.69
16/03/2000,0.6113,234.795,79.247,0.9696,1.5771,,107.3023,,983.68,,2012.03,6478.05,2991.19,,105.37
17/03/2000,0.6067,233.543,78.7124,0.9721,1.5748,,107.3983,,985.66,,2020.31,6548.29,2991.53,,106.73
