obs_date,mars_equities_portfolio,mars_bonds_portfolio,mars_commodities_portfolio,mars_inflation_portfolio
4/3/2006,0.005048743,-0.002237359,0.008779813,0.001575633
4/4/2006,0.003216128,0.000287356,-0.013516104,-0.001200279
4/5/2006,0.003598849,0.001542411,0.0096267,-0.001227447
4/6/2006,0.000494111,-0.002487139,0.006796023,0.00427879
4/7/2006,-0.008364586,-0.002205898,-0.008527588,0.003071318
4/10/2006,0.001477034,2.47E-05,0.015823057,0.000801945
4/11/2006,-0.008846341,0.001037391,0.005100172,-0.000691023
4/12/2006,-0.001062387,-0.001516304,0.001187681,0.001817748
4/13/2006,0.000225771,-0.002645256,0.01054899,0.000272261
4/17/2006,-0.001240799,0.00124993,0.018780561,-0.000720571
4/18/2006,0.012225788,0.001357418,0.022742842,0.001770843
4/19/2006,0.003919563,-0.000278671,0.011108035,0.001352506
4/20/2006,0.001359001,-0.000531903,-0.010381357,-0.000139078
4/21/2006,0.001849545,0.000457762,0.013924143,-0.002546033
4/24/2006,-0.004584742,0.001108658,-0.020302346,0.000888194
4/25/2006,-0.002385818,-0.003254844,-0.002955991,-0.000289243
4/26/2006,0.001093732,-0.001942726,-0.006760485,-0.000686347
4/27/2006,0.002160178,0.000871823,-0.024014192,0.001824417
4/28/2006,-0.00169063,0.002104371,0.004451059,0.001208888
5/1/2006,-0.003915413,-0.001244567,0.016888998,-0.001946721
5/2/2006,0.007431776,-0.00020705,0.00799326,0.003835786
5/3/2006,-0.005090281,-0.001314811,-0.016306333,-0.000412972
5/4/2006,0.003014173,-0.000445378,-0.003813862,-0.001039139
5/5/2006,0.008916176,0.001632666,0.003798807,0.000574489
5/8/2006,0.000374906,-0.001106349,-0.006741847,0.000558013
5/9/2006,0.001255234,-0.000388521,0.011798674,0.001616711
5/10/2006,-0.002151905,-0.00096344,0.019651664,-0.001023126
5/11/2006,-0.009972463,-0.000816315,0.010596034,0.003844848
5/12/2006,-0.014516991,-0.00135143,-0.016967116,0.001820258
5/15/2006,-0.002706026,0.001696608,-0.029034605,-0.007101181
5/16/2006,-0.001923725,0.002673976,0.004072707,0.000370296
5/17/2006,-0.019803833,-0.001172513,-0.009371308,0.004876937
5/18/2006,-0.005086304,0.002802173,-0.002665107,-0.00295248
5/19/2006,0.004934888,0.000908997,-0.015082046,-0.002444356
5/22/2006,-0.011272856,0.002247397,0.012433364,-0.000604537
5/23/2006,-0.001956624,-0.000487207,0.020863309,-1.91E-05
5/24/2006,0.003833993,0.001026246,-0.028589737,0.001083668
5/25/2006,0.009709934,-0.001397625,0.009768324,-0.00026597
5/26/2006,0.009224032,0.000723432,0.007212936,-0.000537412
5/30/2006,-0.017084659,-0.001367163,0.001536162,0.0056991
5/31/2006,0.007055645,-0.001377611,-0.003469895,-0.004156478
6/1/2006,0.008536578,-0.001317041,-0.00418958,-0.001889909
6/2/2006,0.002917366,0.00512704,0.022290088,-0.001401291
6/5/2006,-0.011451849,-0.000294523,-0.0036231,0.000328168
6/6/2006,-0.007136218,-0.000998799,-0.010623473,-0.002819141
6/7/2006,-0.006127688,0.00026453,-0.013218272,-0.002361843
6/8/2006,-0.00826583,0.001754651,-0.006001592,0.001048981
6/9/2006,0.000432716,0.000820978,0.005650945,0.00098508
6/12/2006,-0.010217509,0.000102605,-0.00568569,0.001896931
6/13/2006,-0.015784639,0.002099111,-0.025361416,-0.002877486
6/14/2006,0.00549952,-0.002972803,0.010369784,0.005177598
6/15/2006,0.020330885,-0.002222907,0.021753575,0.001193507
6/16/2006,-0.002618955,-0.001572356,0.001975641,0.000726839
6/19/2006,-0.006012892,-0.001122277,-0.017222333,0.000946596
6/20/2006,0.00224182,-0.001525654,-0.007791479,-0.000854459
6/21/2006,0.006248948,-3.53E-05,0.010326263,-0.000180708
6/22/2006,0.000279681,-0.001936763,-0.000761853,-0.001865556
6/23/2006,-0.000133378,-0.001564223,-0.00570378,0.004255414
6/26/2006,0.002789933,-0.000570781,0.001084059,-0.000825876
6/27/2006,-0.007351508,0.000863506,0.004718426,-0.00251658
6/28/2006,0.003768408,-0.001160655,-0.001960351,0.001480971
6/29/2006,0.018941851,0.001570903,0.013352389,0.001551374
6/30/2006,0.003556921,0.002404171,0.009812894,0.003213943
7/3/2006,0.006087866,-0.001433048,0.002555946,-0.004816292
7/4/2006,0.001173967,0.000375553,-0.000697945,-0.003942685
7/5/2006,-0.007684417,-0.003247307,-0.002296015,0.002512048
7/6/2006,0.002604039,0.001252026,0.004679832,0.001392701
7/7/2006,-0.004400539,0.002726037,-0.011571858,-9.73E-05
7/10/2006,0.00299024,-0.000116284,-0.002421478,-0.000990513
7/11/2006,0.000775712,0.001555189,0.009785158,5.84E-05
7/12/2006,-0.007954185,0.000231661,0.007431265,-0.001105498
7/13/2006,-0.016044478,0.001495487,0.017406755,8.91E-05
7/14/2006,-0.00725445,0.002062875,0.009375567,0.001568927
7/17/2006,-0.002056605,-0.000474268,-0.030768455,0.000744695
7/18/2006,0.00044361,-0.002197253,-0.019062898,-0.000616909
7/19/2006,0.014406155,0.002516249,0.004222466,-0.00111003
7/20/2006,-0.001905047,0.001489878,-0.000281584,0.001191951
7/21/2006,-0.007906404,0.000132853,-0.001496801,-0.000489112
7/24/2006,0.016571848,-0.000514364,0.015350113,-0.005159215
7/25/2006,0.004301941,-0.000982792,-0.008201255,0.004476771
7/26/2006,0.001030531,0.000967197,0.011920927,0.002916903
7/27/2006,0.00291006,0.000319241,0.008933487,8.01E-05
7/28/2006,0.008483698,0.001312795,-0.003311839,-0.002173037
7/31/2006,-0.001929528,0.000342555,0.033181355,0.000467002
8/1/2006,-0.004129222,-0.000108082,-0.007859666,0.000980382
8/2/2006,0.006102435,0.000928525,0.015584652,0.000591575
8/3/2006,0.000217863,-0.000208566,-0.016737203,-0.000603655
8/4/2006,0.000935399,0.002083963,0.000283139,-0.0004909
