obs_date,mars_equities_portfolio,mars_bonds_portfolio,mars_commodities_portfolio,mars_inflation_portfolio
1/31/1954,-0.011242879,0.002736888,0.036514626,-0.002119107
2/28/1954,-0.016636664,0.008446084,0.030814775,-0.007430171
3/31/1954,0.011569606,0.006540148,0.035030005,-0.002995855
4/30/1954,0.002059793,-0.001690364,-0.064618149,-0.016327984
5/31/1954,-0.000467894,0.002484182,0.025929442,-0.002592368
6/30/1954,0.030810585,0.009627029,0.088898636,0.001142862
7/31/1954,0.008549553,-0.014783502,-0.03164205,-0.00090444
8/31/1954,0.047168392,0.001381875,-0.008908986,0.000806659
9/30/1954,0.010055212,0.001072238,0.054966385,0.001631069
10/31/1954,0.057636755,-0.000373973,0.004180691,0.000389361
11/30/1954,0.051762912,0.000245815,-0.01606851,-0.001229338
12/31/1954,0.026181413,-0.002663581,-0.002865969,-0.001777588
1/31/1955,0.019808108,1.64E-05,-0.05550613,-0.000636126
2/28/1955,0.011317585,0.002148865,-0.028037156,-0.010404996
3/31/1955,0.038798447,-0.002992086,-0.007649646,0.005126397
4/30/1955,-0.003973641,0.001172481,0.008946118,-0.004894147
5/31/1955,0.031757692,-0.000524182,-0.006675461,0.001026766
6/30/1955,0.040251312,-0.002350133,-0.031698024,-0.002556211
7/31/1955,-7.31E-05,-0.062227885,-0.010024023,0.008988465
8/31/1955,-0.000321442,0.013528679,0.061324353,0.001207771
9/30/1955,-0.03372668,0.014606189,-0.011044693,-0.00511392
10/31/1955,0.0217546,0.010805129,-0.024409342,-0.005429281
11/30/1955,0.003227034,-0.000772943,0.020119361,-0.002352081
12/31/1955,-0.032717277,-0.000729522,0.018091205,-0.000672166
1/31/1956,0.01512746,0.006115293,0.007451576,-0.002683269
2/29/1956,0.021068819,0.001890183,0.046221956,0.001816884
3/31/1956,0.017032164,-0.007199242,0.093344434,0.004742537
4/30/1956,-0.027374599,0.008397433,-0.042244341,-0.01357506
5/31/1956,0.016331309,0.005292197,-0.019811893,-0.001885981
6/30/1956,0.040663848,-0.004843655,-0.000829113,0.001323326
7/31/1956,-0.011811186,-0.011953637,-0.012287433,-0.000627584
8/31/1956,-0.013199421,-0.00643429,0.004702331,-0.004378826
9/30/1956,0.012510035,0.003133813,0.048941626,0.000843252
10/31/1956,-0.013677643,-0.009841016,0.018810328,-0.003204722
11/30/1956,0.035699926,-0.004862234,-0.047076908,-0.003209999
12/31/1956,-0.01306323,0.003588506,0.010822583,-0.008338362
1/31/1957,-0.008210813,-0.001051702,-0.025959307,-0.004625446
2/28/1957,0.007698775,-0.002223833,-0.012564115,-0.003647001
3/31/1957,0.029961902,-0.002245575,-0.013549659,0.003975942
4/30/1957,0.005704227,-0.017150783,-0.012790775,-0.001556877
5/31/1957,0.001092881,-0.012674564,0.01531572,0.002744658
6/30/1957,0.011213289,-0.014659426,0.006508269,-0.000136196
7/31/1957,-0.021687548,0.000903894,-0.001016285,-0.004469585
8/31/1957,-0.045209982,-0.001662635,-0.04235886,-0.006488202
9/30/1957,-0.038795853,-0.000541704,0.017819419,-0.001215425
10/31/1957,0.015696913,0.016159566,-0.000102848,-0.008402638
11/30/1957,-0.015934903,0.020406898,-0.037189151,-0.013021684
12/31/1957,0.022713386,0.015538735,-0.01632762,0.002661196
1/31/1958,-0.00711597,0.013058464,0.026761105,0.002513034
2/28/1958,-0.000258508,0.015289177,0.027047561,-0.01063479
3/31/1958,0.02117511,0.005127436,0.00580678,0.000911637
4/30/1958,0.011468478,0.002196541,0.015789163,0.002548917
